"Row","Description","Part","References","Value","Footprint","Quantity Per PCB","Status","Datasheet","lcsc#","jlc-part-type"
"1","Unpolarized capacitor","C","C101,C102,C103,C104,C105,C106,C107,C201,C202,C203,C301,C302,C303,C401,C402,C403,C501,C502,C503,C601,C602,C603","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","22"," ","~","C476766",""
"2","Polarized capacitor","C_Polarized","C108","220u","CP_Elec_10x10.5","1"," ","~","",""
"3","Light emitting diode","LED","D101","ALR","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"," ","~","C965812",""
"4","Schottky diode","D_Schottky","D201,D301,D401,D501,D601","DS14W","D_SOD-123F","5"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_YFW-DS14W_C1884542.pdf","C1884542",""
"5","Light emitting diode","LED","D102","VCC","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"," ","~","C965815",""
"6","Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_02x08_Odd_Even","J101","IDC 2x8","IDC-Header_2x08_P2.54mm_Vertical","1"," ","~","C3406","E"
"7","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x03","J202,J302,J402,J502,J602","METER","MR30-F","5"," ","~","",""
"8","Generic connector, double row, 02x01, this symbol is compatible with counter-clockwise, top-bottom and odd-even numbering schemes., script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_02x01","J201,J301,J401,J501,J601","XT-IN","XT30U-M","5"," ","~","",""
"9","Generic connector, double row, 02x01, this symbol is compatible with counter-clockwise, top-bottom and odd-even numbering schemes., script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_02x01","J203,J303,J403,J503,J603","XT-OUT","XT30U-F","5"," ","~","",""
"10","P-Channel MOSFET, -85A Id, -20V Vds, DFN-8","AON6411","Q201,Q301,Q401,Q501,Q601","AON6144","AO_DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm","5"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_1809192134_Alpha---Omega-Semicon-AON6144_C133142.pdf","C133142",""
"11","Resistor","R","R205,R305,R405,R505,R605","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5"," ","~","",""
"12","Resistor","R","R203,R303,R403,R503,R603","43R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5"," ","~","",""
"13","Resistor","R","R104,R105,R107,R108,R109,R202,R302,R402,R502,R602","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","10"," ","~","",""
"14","Resistor","R","R101,R102,R103,R106","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4"," ","~","",""
"15","Resistor","R","R201,R204,R301,R304,R401,R404,R501,R504,R601,R604","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","10"," ","~","",""
"16","Digital Temperature Sensor, +/- 3 °C, low-Power, SMBus, 12 bit, Two-Wire Serial Interface, SOT-563","TMP102xxDRL","U105,U106","TMP102AIDRLR","SOT-563","2"," ","https://www.ti.com/lit/ds/symlink/tmp102.pdf","C99269",""
"17","4A Single-Channel, Low-Side, Non-Inverting Gate Driver","UCC27517DBVR","U201,U301,U401,U501,U601","UCC27517DBVR","SOT-23-5_HandSoldering","5"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2402211157_UMW-Youtai-Semiconductor-Co---Ltd--UCC27517DBVR-UMW_C20623191.pdf","C20623191",""
"18","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6","USBLC6-2SC6","U101,U102,U103,U104","USBLC6-2SC6","SOT-23-6","4"," ","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","C7519",""
